CONSINEE,CONSINEE_ADDRESS,PORT_CODE,FOREIGN_PORT,FOREIGN_COUNTRY
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Himani Herbal LLC,N?A,N?A,jacksonville,Canada
Himani Herbal LLC,N?A,N?A,jacksonville,Canada
Himani Herbal LLC,N?A,N?A,jacksonville,Canada
Himani Herbal LLC,N?A,N?A,jacksonville,Canada
Himani Herbal LLC,N?A,N?A,jacksonville,Canada
Himani Herbal LLC,N?A,N?A,jacksonville,Canada
Himani Herbal LLC,N?A,N?A,jacksonville,Canada
Himani Herbal LLC,N?A,N?A,jacksonville,Canada
Himani Herbal LLC,N?A,N?A,jacksonville,Canada
Himani Herbal LLC,N?A,N?A,jacksonville,Canada
Himani Herbal LLC,N?A,N?A,jacksonville,Canada
Himani Herbal LLC,N?A,N?A,jacksonville,Canada
Himani Herbal LLC,N?A,N?A,jacksonville,Canada
Himani Herbal LLC,N?A,N?A,jacksonville,Canada
M/S. AIB FOODS LIMITED,N?A,N?A,felixstowe,United Kingdom
M/S. AIB FOODS LIMITED,N?A,N?A,felixstowe,United Kingdom
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
ACME INTERNATIONAL INC,N?A,N?A,savannah,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
Indian Grocery Outlet Inc,N?A,N?A,new york,United States
M/S. AIB FOODS LIMITED,N?A,N?A,felixstowe,United Kingdom
M/S. AIB FOODS LIMITED,N?A,N?A,felixstowe,United Kingdom
M/S. AIB FOODS LIMITED,N?A,N?A,felixstowe,United Kingdom
M/S. AIB FOODS LIMITED,N?A,N?A,felixstowe,United Kingdom
M/S. AIB FOODS LIMITED,N?A,N?A,felixstowe,United Kingdom
M/S. AIB FOODS LIMITED,N?A,N?A,felixstowe,United Kingdom
M/S. AIB FOODS LIMITED,N?A,N?A,felixstowe,United Kingdom
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
Daxa Foods INC,N?A,N?A,new york,United States
THUAN PHUOC SEAFOODS AND TRADING   ,N?A,VNDAD,Da Nang,Vietnam
HARVEST VALLEY INC                 ,N?A,USMIA,Miami,United States
HARVEST VALLEY INC                 ,N?A,USMIA,Miami,United States
HARVEST VALLEY INC                 ,N?A,USMIA,Miami,United States
QUANG NINH SEAPRODUCTS IMPORT      ,N?A,VNHPH,Haiphong,Vietnam
HARVEST  VALLEY INC                ,N?A,USMIA,Miami,United States
HARVEST  VALLEY INC                ,N?A,USMIA,Miami,United States
SAUDI PAN GULF COMPANY             ,N?A,SAJED,Jeddah,Saudi Arabia
SAUDI PAN GULF COMPANY             ,N?A,SAJED,Jeddah,Saudi Arabia
BAYFRESH INC                       ,N?A,USNYC,New York,United States
BAYFRESH INC                       ,N?A,USNYC,New York,United States
BAYFRESH INC                       ,N?A,USNYC,New York,United States
BAYFRESH INC                       ,N?A,USNYC,New York,United States
BAYFRESH INC                       ,N?A,USNYC,New York,United States
SAUDI PAN GULF COMPANY             ,N?A,SAJED,Jeddah,Saudi Arabia
SAUDI PAN GULF COMPANY             ,N?A,SAJED,Jeddah,Saudi Arabia
SAUDI PAN GULF COMPANY             ,N?A,SAJED,Jeddah,Saudi Arabia
SAUDI PAN GULF COMPANY             ,N?A,SAJED,Jeddah,Saudi Arabia
SAUDI PAN GULF COMPANY             ,N?A,SAJED,Jeddah,Saudi Arabia
SAUDI PAN GULF COMPANY             ,N?A,SAJED,Jeddah,Saudi Arabia
SAUDI PAN GULF COMPANY             ,N?A,SAJED,Jeddah,Saudi Arabia
SAUDI PAN GULF COMPANY             ,N?A,SAJED,Jeddah,Saudi Arabia
QUANG NINH SEAPRODUCTS IMPORT      ,N?A,VNHPH,Haiphong,Vietnam
BAYFRESH INC                       ,N?A,USNYC,New York,United States
BAYFRESH INC                       ,N?A,USNYC,New York,United States
BAYFRESH INC                       ,N?A,USNYC,New York,United States
BAYFRESH INC                       ,N?A,USNYC,New York,United States
BAYFRESH INC                       ,N?A,USNYC,New York,United States
BAYFRESH INC                       ,N?A,USNYC,New York,United States
BAYFRESH INC                       ,N?A,USNYC,New York,United States
BAYFRESH INC                       ,N?A,USNYC,New York,United States
CENSEA INC                         ,N?A,USNYC,New York,United States
"GULF SEAFOOD LLC.,                 ",N?A,AEJEA,Jebel Ali,United Arab Emirates
"GULF SEAFOOD LLC.,                 ",N?A,AEJEA,Jebel Ali,United Arab Emirates
"GULF SEAFOOD LLC.,                 ",N?A,AEJEA,Jebel Ali,United Arab Emirates
"GULF SEAFOOD LLC.,                 ",N?A,AEJEA,Jebel Ali,United Arab Emirates
"GULF SEAFOOD LLC.,                 ",N?A,AEJEA,Jebel Ali,United Arab Emirates
IMAEX TRADING CO.INC.              ,N?A,USSAV,Savannah,United States
IMAEX TRADING CO.INC.              ,N?A,USSAV,Savannah,United States
IMAEX TRADING CO.INC.              ,N?A,USSAV,Savannah,United States
IMAEX TRADING CO.INC.              ,N?A,USSAV,Savannah,United States
CENSEA INC                         ,N?A,USNYC,New York,United States
CENSEA INC                         ,N?A,USNYC,New York,United States
CENSEA INC                         ,N?A,USLAX,Los Angeles,United States
"HARVEST VALLEY INC,                ",N?A,USMIA,Miami,United States
"HARVEST VALLEY INC,                ",N?A,USMIA,Miami,United States
"HARVEST VALLEY INC,                ",N?A,USMIA,Miami,United States
"GULF SEAFOOD LLC.,                 ",N?A,AEJEA,Jebel Ali,United Arab Emirates
"GULF SEAFOOD LLC.,                 ",N?A,AEJEA,Jebel Ali,United Arab Emirates
"GULF SEAFOOD LLC.,                 ",N?A,AEJEA,Jebel Ali,United Arab Emirates
"GULF SEAFOOD LLC.,                 ",N?A,AEJEA,Jebel Ali,United Arab Emirates
"GULF SEAFOOD LLC.,                 ",N?A,AEJEA,Jebel Ali,United Arab Emirates
"GULF SEAFOOD LLC.,                 ",N?A,AEJEA,Jebel Ali,United Arab Emirates
"NETWORK COMMODITIES LLC.,          ",N?A,USNYC,New York,United States
"NETWORK COMMODITIES LLC.,          ",N?A,USNYC,New York,United States
"M/s CENSEA INC.,                   ",N?A,USNYC,New York,United States
"M/S, BAYLINE SEA FOODS(PTY)LTD.,   ",N?A,ZACPT,Cape Town,South Africa
"M/S, BAYLINE SEA FOODS(PTY)LTD.,   ",N?A,ZACPT,Cape Town,South Africa
"M/S, BAYLINE SEA FOODS(PTY)LTD.,   ",N?A,ZACPT,Cape Town,South Africa
"M/S, BAYLINE SEA FOODS(PTY)LTD.,   ",N?A,ZACPT,Cape Town,South Africa
"M/s CENSEA INC.,                   ",N?A,USNYC,New York,United States
"SEALAND FOODS INC,                 ",N?A,USNOR,North,United States
"SEALAND FOODS INC,                 ",N?A,USNOR,North,United States
"SEALAND FOODS INC,                 ",N?A,USNOR,North,United States
"MARINE FOODS EXPRESS, LTD.,        ",N?A,USHOU,Houston,United States
"THE DEEP SEAFOOD CO.LLC,           ",N?A,AESHJ,Sharjah,United Arab Emirates
"THE DEEP SEAFOOD CO.LLC,           ",N?A,AESHJ,Sharjah,United Arab Emirates
"THE DEEP SEAFOOD CO.LLC,           ",N?A,AESHJ,Sharjah,United Arab Emirates
"THE DEEP SEAFOOD CO.LLC,           ",N?A,AESHJ,Sharjah,United Arab Emirates
"THE DEEP SEAFOOD CO.LLC,           ",N?A,AESHJ,Sharjah,United Arab Emirates
"THE DEEP SEAFOOD CO.LLC,           ",N?A,AESHJ,Sharjah,United Arab Emirates
"THE DEEP SEAFOOD CO.LLC,           ",N?A,AESHJ,Sharjah,United Arab Emirates
"THE DEEP SEAFOOD CO.LLC,           ",N?A,AESHJ,Sharjah,United Arab Emirates
"GOURMET FUSION FOODS, INC          ",N?A,USFKL,Franklin,United States
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
ARTIKOPOULOS ANASTASIOS            ,N?A,AHN,Athens (GA),United States
ARTIKOPOULOS ANASTASIOS            ,N?A,AHN,Athens (GA),United States
ARTIKOPOULOS ANASTASIOS            ,N?A,AHN,Athens (GA),United States
ARTIKOPOULOS ANASTASIOS            ,N?A,AHN,Athens (GA),United States
ARTIKOPOULOS ANASTASIOS            ,N?A,AHN,Athens (GA),United States
ARTIKOPOULOS ANASTASIOS            ,N?A,AHN,Athens (GA),United States
ARTIKOPOULOS ANASTASIOS            ,N?A,AHN,Athens (GA),United States
ARTIKOPOULOS ANASTASIOS            ,N?A,AHN,Athens (GA),United States
LEGEND 73 SARL                     ,N?A,PAR,Paris,France
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
RACING TEAM SARL                   ,N?A,PAR,Paris,France
RACING TEAM SARL                   ,N?A,PAR,Paris,France
RACING TEAM SARL                   ,N?A,PAR,Paris,France
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
MILESTONE SPORTSWEAR HANDELS GMBH  ,N?A,NUE,Nürnberg (Nuremberg),Germany
QUADRO PROMOTION AG                ,N?A,ZRH,Zurich (Zürich) - Kloten,Switzerland
QUADRO PROMOTION AG                ,N?A,ZRH,Zurich (Zürich) - Kloten,Switzerland
QUADRO PROMOTION AG                ,N?A,ZRH,Zurich (Zürich) - Kloten,Switzerland
QUADRO PROMOTION AG                ,N?A,ZRH,Zurich (Zürich) - Kloten,Switzerland
QUADRO PROMOTION AG                ,N?A,ZRH,Zurich (Zürich) - Kloten,Switzerland
